Cod Municipio;Municipio;Qtd Locais SUM;Qtd Secoes SUM;Qtd Eleitores SUM
58009;QUISSAMÃ;8;44;14470
58017;ANGRA DOS REIS;72;333;112618
58025;QUATIS;7;29;9385
58033;ARARUAMA;46;248;82464
58041;BELFORD ROXO;104;857;302693
58050;BARRA DO PIRAÍ;34;233;69802
58068;CARDOSO MOREIRA;16;49;10712
58076;BARRA MANSA;69;417;127778
58084;VARRE-SAI;2;22;7146
58092;BOM JARDIM;24;77;20706
58106;GUAPIMIRIM;30;116;34824
58114;BOM JESUS DO ITABAPOANA;21;102;27549
58122;QUEIMADOS;40;300;94135
58130;CABO FRIO;59;378;127019
58149;JAPERI;29;194;64229
58157;CACHOEIRAS DE MACACU;37;138;41293
58165;COMENDADOR LEVY GASPARIAN;13;24;6478
58173;CAMBUCI;17;45;10759
58181;APERIBÉ;8;28;7829
58190;CAMPOS DOS GOYTACAZES;168;1024;334561
58203;RIO DAS OSTRAS;34;178;62671
58211;CANTAGALO;18;71;16339
58220;AREAL;6;29;8743
58238;CARMO;17;51;13017
58246;PINHEIRAL;9;46;15290
58254;CASIMIRO DE ABREU;17;86;24833
58262;IGUABA GRANDE;13;60;18233
58270;CONCEIÇÃO DE MACABU;19;65;16141
58289;SÃO FRANCISCO DE ITABAPOANA;36;123;34492
58297;CORDEIRO;12;50;15858
58300;CARAPEBUS;5;28;9636
58319;DUAS BARRAS;9;33;8487
58327;PORTO REAL;7;39;12746
58335;DUQUE DE CAXIAS;224;1696;590370
58343;SÃO JOSÉ DE UBÁ;3;18;6301
58351;ENGENHEIRO PAULO DE FRONTIN;10;38;8838
58360;TANGUÁ;7;59;21389
58378;ITABORAÍ;59;424;149496
58386;MACUCO;4;22;5748
58394;ITAGUAÍ;34;241;79150
58408;ARMAÇÃO DOS BÚZIOS;11;68;19238
58416;ITAOCARA;23;79;18532
58424;SEROPÉDICA;16;138;49560
58432;ITAPERUNA;43;251;73533
58440;ITATIAIA;11;70;21509
58459;LAJE DO MURIAÉ;5;22;6813
58467;MESQUITA;51;354;127572
58475;MACAÉ;62;391;133754
58491;MAGÉ;79;520;161133
58513;MANGARATIBA;16;92;25787
58530;MARICÁ;32;220;77350
58556;MENDES;14;59;14362
58572;MIGUEL PEREIRA;22;70;21045
58599;MIRACEMA;9;71;21918
58610;NATIVIDADE;7;39;10924
58637;NILÓPOLIS;51;428;122090
58653;NITERÓI;139;1153;371419
58670;NOVA FRIBURGO;89;483;145198
58696;NOVA IGUAÇU;239;1593;545800
58718;PARACAMBI;14;98;31261
58734;PARAÍBA DO SUL;33;123;32518
58750;PARATY;28;88;24201
58777;PETRÓPOLIS;177;770;238204
58793;PIRAÍ;19;77;18849
58815;PORCIÚNCULA;15;45;13723
58831;RESENDE;55;283;83810
58858;RIO BONITO;22;125;42882
58874;RIO CLARO;11;45;14254
58890;RIO DAS FLORES;6;22;6993
58912;SANTA MARIA MADALENA;13;34;8106
58939;SANTO ANTÔNIO DE PÁDUA;42;114;31681
58955;SÃO FIDÉLIS;36;134;29713
58971;SÃO GONÇALO;155;1838;652973
58998;SÃO JOÃO DA BARRA;20;89;27657
59013;SÃO JOÃO DE MERITI;137;1050;351376
59030;SÃO PEDRO DA ALDEIA;37;189;53776
59056;SÃO SEBASTIÃO DO ALTO;9;29;7469
59072;SAPUCAIA;15;54;15506
59099;SAQUAREMA;38;178;56198
59110;SILVA JARDIM;15;58;15998
59137;SUMIDOURO;15;58;13100
59153;TERESÓPOLIS;80;380;119008
59170;TRAJANO DE MORAIS;11;34;8346
59196;TRÊS RIOS;61;199;58168
59218;VALENÇA;59;200;56891
59234;VASSOURAS;30;108;28235
59250;VOLTA REDONDA;76;608;212511
59277;ARRAIAL DO CABO;11;78;23836
59293;ITALVA;16;45;10174
59315;PATY DO ALFERES;19;65;20836
59331;SÃO JOSÉ DO VALE DO RIO PRETO;12;48;14956
60011;RIO DE JANEIRO;1466;11134;4674789
