Cod Municipio;Municipio;Qtd          Locais;Qtd        Secoes;Qtd         Eleitores
58017;ANGRA DOS REIS;69;389;129454
58181;APERIBÉ;7;31;8999
58033;ARARUAMA;44;263;92990
58220;AREAL;7;32;9672
58408;ARMAÇÃO DOS BÚZIOS;15;76;25868
59277;ARRAIAL DO CABO;12;88;28879
58050;BARRA DO PIRAÍ;33;247;71099
58076;BARRA MANSA;64;446;135384
58041;BELFORD ROXO;102;931;328777
58092;BOM JARDIM;21;79;21947
58114;BOM JESUS DO ITABAPOANA;21;105;29353
58130;CABO FRIO;62;420;146434
58157;CACHOEIRAS DE MACACU;37;147;45092
58173;CAMBUCI;17;47;12240
58190;CAMPOS DOS GOYTACAZES;193;1123;359323
58211;CANTAGALO;18;72;16471
58300;CARAPEBUS;5;36;12363
58068;CARDOSO MOREIRA;7;55;11621
58238;CARMO;17;57;14272
58254;CASIMIRO DE ABREU;17;101;31670
58165;COMENDADOR LEVY GASPARIAN;10;27;7745
58270;CONCEIÇÃO DE MACABU;22;73;17631
58297;CORDEIRO;12;54;16698
58319;DUAS BARRAS;9;34;9710
58335;DUQUE DE CAXIAS;235;1825;628164
58351;ENGENHEIRO PAULO DE FRONTIN;10;38;10615
58106;GUAPIMIRIM;30;131;40346
58262;IGUABA GRANDE;18;75;21857
58378;ITABORAÍ;69;494;170825
58394;ITAGUAÍ;35;271;89731
59293;ITALVA;7;53;11205
58416;ITAOCARA;21;82;19315
58432;ITAPERUNA;41;264;75770
58440;ITATIAIA;11;78;25182
58149;JAPERI;29;223;73471
58459;LAJE DO MURIAÉ;4;21;7477
58475;MACAÉ;64;456;156977
58386;MACUCO;6;26;7113
58491;MAGÉ;73;562;178009
58513;MANGARATIBA;17;102;34988
58530;MARICÁ;37;282;101282
58556;MENDES;13;59;15464
58467;MESQUITA;50;389;137326
58572;MIGUEL PEREIRA;22;74;22910
58599;MIRACEMA;9;73;22432
58610;NATIVIDADE;7;40;12447
58637;NILÓPOLIS;47;444;133984
58653;NITERÓI;143;1280;370958
58670;NOVA FRIBURGO;83;502;151045
58696;NOVA IGUAÇU;245;1708;583636
58718;PARACAMBI;16;105;33886
58734;PARAÍBA DO SUL;33;127;34148
58750;PARATY;30;98;28802
59315;PATY DO ALFERES;20;71;22881
58777;PETRÓPOLIS;156;813;244648
58246;PINHEIRAL;9;54;17682
58793;PIRAÍ;19;82;21902
58815;PORCIÚNCULA;17;48;14097
58327;PORTO REAL;7;49;16931
58025;QUATIS;7;32;10393
58122;QUEIMADOS;42;335;113059
58009;QUISSAMÃ;8;55;18091
58831;RESENDE;59;321;92757
58858;RIO BONITO;22;133;45204
58874;RIO CLARO;10;50;15609
58890;RIO DAS FLORES;6;26;8501
58203;RIO DAS OSTRAS;32;232;84956
60011;RIO DE JANEIRO;1498;11803;4898045
58912;SANTA MARIA MADALENA;13;35;8838
58939;SANTO ANTÔNIO DE PÁDUA;39;126;33145
58955;SÃO FIDÉLIS;24;135;30753
58289;SÃO FRANCISCO DE ITABAPOANA;37;133;37180
58971;SÃO GONÇALO;156;1967;686207
58998;SÃO JOÃO DA BARRA;22;112;37631
59013;SÃO JOÃO DE MERITI;135;1100;368991
58343;SÃO JOSÉ DE UBÁ;7;26;7195
59331;SÃO JOSÉ DO VALE DO RIO PRETO;11;54;15955
59030;SÃO PEDRO DA ALDEIA;39;222;62903
59056;SÃO SEBASTIÃO DO ALTO;9;30;7969
59072;SAPUCAIA;15;56;16856
59099;SAQUAREMA;35;202;63502
58424;SEROPÉDICA;16;153;55002
59110;SILVA JARDIM;14;67;18773
59137;SUMIDOURO;16;60;13730
58360;TANGUÁ;11;72;24512
59153;TERESÓPOLIS;81;403;126595
59170;TRAJANO DE MORAIS;12;37;9140
59196;TRÊS RIOS;55;214;61840
59218;VALENÇA;57;205;58723
58084;VARRE-SAI;4;23;8154
59234;VASSOURAS;27;109;30232
59250;VOLTA REDONDA;76;658;223240
