Cod Municipio;Municipio;Qtd Locais SUM;Qtd Secoes SUM;Qtd Eleitores SUM
58009;QUISSAMÃ;8;55;17728
58017;ANGRA DOS REIS;67;400;130537
58025;QUATIS;7;33;10322
58033;ARARUAMA;44;270;96162
58041;BELFORD ROXO;101;945;331087
58050;BARRA DO PIRAÍ;33;250;71243
58068;CARDOSO MOREIRA;7;56;11443
58076;BARRA MANSA;60;452;135177
58084;VARRE-SAI;4;23;8141
58092;BOM JARDIM;21;80;22117
58106;GUAPIMIRIM;30;133;40733
58114;BOM JESUS DO ITABAPOANA;21;106;29726
58122;QUEIMADOS;43;355;72971
58130;CABO FRIO;61;430;151452
58149;JAPERI;29;224;73693
58157;CACHOEIRAS DE MACACU;37;150;45318
58165;COMENDADOR LEVY GASPARIAN;10;27;7628
58173;CAMBUCI;17;47;12172
58181;APERIBÉ;3;31;8961
58190;CAMPOS DOS GOYTACAZES;200;1139;361248
58203;RIO DAS OSTRAS;34;261;75978
58211;CANTAGALO;17;72;16188
58220;AREAL;7;32;9615
58238;CARMO;17;58;14421
58246;PINHEIRAL;9;54;17410
58254;CASIMIRO DE ABREU;17;103;32004
58262;IGUABA GRANDE;16;77;22858
58270;CONCEIÇÃO DE MACABU;22;73;17416
58289;SÃO FRANCISCO DE ITABAPOANA;37;136;37049
58297;CORDEIRO;12;54;16682
58300;CARAPEBUS;5;36;11933
58319;DUAS BARRAS;7;34;9698
58327;PORTO REAL;7;49;17085
58335;DUQUE DE CAXIAS;234;1850;634781
58343;SÃO JOSÉ DE UBÁ;7;26;7232
58351;ENGENHEIRO PAULO DE FRONTIN;10;40;10653
58360;TANGUÁ;12;72;24402
58378;ITABORAÍ;65;501;171797
58386;MACUCO;6;26;6970
58394;ITAGUAÍ;35;275;90951
58408;ARMAÇÃO DOS BÚZIOS;16;86;27915
58416;ITAOCARA;23;86;19299
58424;SEROPÉDICA;16;153;55045
58432;ITAPERUNA;39;267;75773
58440;ITATIAIA;12;79;25009
58459;LAJE DO MURIAÉ;4;21;7274
58467;MESQUITA;50;390;135124
58475;MACAÉ;66;475;160555
58491;MAGÉ;75;572;181364
58513;MANGARATIBA;17;105;36086
58530;MARICÁ;37;305;107820
58556;MENDES;12;59;15470
58572;MIGUEL PEREIRA;22;76;23022
58599;MIRACEMA;12;73;22336
58610;NATIVIDADE;8;40;12372
58637;NILÓPOLIS;46;447;133274
58653;NITERÓI;140;1292;384813
58670;NOVA FRIBURGO;80;497;151918
58696;NOVA IGUAÇU;241;1742;588473
58718;PARACAMBI;16;105;33967
58734;PARAÍBA DO SUL;33;130;34131
58750;PARATY;30;102;29712
58777;PETRÓPOLIS;125;813;243659
58793;PIRAÍ;19;84;22456
58815;PORCIÚNCULA;17;48;14007
58831;RESENDE;57;331;93967
58858;RIO BONITO;22;135;45312
58874;RIO CLARO;9;50;15484
58890;RIO DAS FLORES;6;26;8514
58912;SANTA MARIA MADALENA;14;36;8645
58939;SANTO ANTÔNIO DE PÁDUA;28;123;33368
58955;SÃO FIDÉLIS;21;135;30621
58971;SÃO GONÇALO;153;1981;678579
58998;SÃO JOÃO DA BARRA;22;118;32872
59013;SÃO JOÃO DE MERITI;114;1114;367866
59030;SÃO PEDRO DA ALDEIA;39;226;64063
59056;SÃO SEBASTIÃO DO ALTO;9;30;6732
59072;SAPUCAIA;15;56;16506
59099;SAQUAREMA;35;206;64889
59110;SILVA JARDIM;14;67;18757
59137;SUMIDOURO;14;60;13791
59153;TERESÓPOLIS;80;408;129405
59170;TRAJANO DE MORAES;12;39;8134
59196;TRÊS RIOS;55;219;62319
59218;VALENÇA;57;205;58319
59234;VASSOURAS;24;108;30214
59250;VOLTA REDONDA;73;673;224180
59277;ARRAIAL DO CABO;12;90;29927
59293;ITALVA;7;53;11147
59315;PATY DO ALFERES;20;72;22821
59331;SÃO JOSÉ DO VALE DO RIO PRETO;11;56;16167
60011;RIO DE JANEIRO;1438;11951;4891885
