sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
RJ;ANGRA DOS REIS;11;Prefeito;15;FERNANDO ANTÔNIO CECILIANO JORDÃO;FERNANDO JORDÃO;MDB;PL / CIDADANIA / MDB / REPUBLICANOS / PSC / PTC / PODE / PSDB / PATRIOTA / PROS;1;Eleito;2020-11-15 22:57:07;58017;190000976927;Válido;2030402020;0,5266;45172;85783
RJ;ANGRA DOS REIS;11;Prefeito;11;JOSÉ AUGUSTO DE ARAUJO VIEIRA;ZÉ AUGUSTO;PP;AVANTE / SOLIDARIEDADE / PP / PSD;1;Não Eleito;2020-11-15 22:57:07;58017;190000850808;Válido;2030402020;0,3625;31098;85783
RJ;ANGRA DOS REIS;11;Prefeito;12;LUIS CLAUDIO PEREIRA DAS DORES;CLAUDINHO;PDT;PDT / PSB;1;Não Eleito;2020-11-15 22:57:07;58017;190000842217;Válido;2030402020;0,0394;3376;85783
RJ;ANGRA DOS REIS;11;Prefeito;27;VAGNER ROBELES DE OLIVEIRA RAMOS;VAGUINHO;DC;DC;1;Não Eleito;2020-11-15 22:57:07;58017;190001163884;Válido;2030402020;0,0232;1991;85783
RJ;ANGRA DOS REIS;11;Prefeito;13;JOSE MIGUEL FILHO;ZEQUINHA MIGUEL;PT;PSOL / PT;1;Não Eleito;2020-11-15 22:57:07;58017;190000789906;Válido;2030402020;0,021;1804;85783
RJ;ANGRA DOS REIS;11;Prefeito;28;RAFAELLE FIRMINO DOS SANTOS;RAFAELLE FIRMINO;PRTB;PRTB;1;Não Eleito;2020-11-15 22:57:07;58017;190000977773;Válido;2030402020;0,0121;1042;85783
RJ;ANGRA DOS REIS;11;Prefeito;65;JANE MOTÉ;JANE MOTÉ;PC do B;PC do B;1;Não Eleito;2020-11-15 22:57:07;58017;190000744235;Válido;2030402020;0,0066;569;85783
RJ;ANGRA DOS REIS;11;Prefeito;17;ALEXANDRE SILVA ESTEVÃO;ALEXANDRE BUIÚ O AMIGO DO POVO;PSL;PSL;1;Não Eleito;2020-11-15 22:57:07;58017;190000900617;Válido;2030402020;0,0064;548;85783
RJ;ANGRA DOS REIS;11;Prefeito;43;MARIO DESCHAMPS;MARIO DESCHAMPS;PV;PV;1;Não Eleito;2020-11-15 22:57:07;58017;190001019131;Válido;2030402020;0,0021;183;85783
RJ;ANGRA DOS REIS;13;Vereador;23000;RUBENS ROCHA DE ANDRADE;RUBINHO METALURGICO;CIDADANIA;CIDADANIA;1;Eleito;2020-11-15 22:57:20;58017;190000810527;Válido;2030402020;0,0297;2615;88189
RJ;ANGRA DOS REIS;13;Vereador;23100;JOCIMAR HENRIQUE;HENRIQUE OBINA;CIDADANIA;CIDADANIA;1;Eleito;2020-11-15 22:57:20;58017;190000810524;Válido;2030402020;0,0265;2336;88189
RJ;ANGRA DOS REIS;13;Vereador;55777;CARLOS EDUARDO DOS SANTOS MILER;DUDU DO TURISMO;PSD;PSD;1;Eleito;2020-11-15 22:57:20;58017;190000900653;Válido;2030402020;0,0225;1985;88189
RJ;ANGRA DOS REIS;13;Vereador;22190;THIMOTEO CAVALCANTI ALBUQUERQUE DE SÁ;SARGENTO THIMOTEO;PL;PL;1;Não Eleito;2020-11-15 22:57:20;58017;190001163404;Válido;2030402020;0,0223;1963;88189
RJ;ANGRA DOS REIS;13;Vereador;11999;GABRIELLA CARNEIRO OLIVEIRA;GAB GREG;PP;PP;1;Eleito;2020-11-15 22:57:20;58017;190000792138;Válido;2030402020;0,0221;1947;88189
RJ;ANGRA DOS REIS;13;Vereador;20123;MARCOS AURELIO COELHO;MARCOS COELHO;PSC;PSC;1;Eleito;2020-11-15 22:57:20;58017;190000796050;Válido;2030402020;0,0208;1831;88189
RJ;ANGRA DOS REIS;13;Vereador;51007;JORGE EDUARDO DE BRITTO RABHA;JORGE EDUARDO MASCOTE;PATRIOTA;PATRIOTA;1;Eleito;2020-11-15 22:57:20;58017;190000666265;Válido;2030402020;0,0196;1725;88189
RJ;ANGRA DOS REIS;13;Vereador;55000;CIRDILEI JERONIMO;BRANCO;PSD;PSD;1;Eleito;2020-11-15 22:57:20;58017;190000900648;Válido;2030402020;0,017;1499;88189
RJ;ANGRA DOS REIS;13;Vereador;15789;CRISTIANE BRASIL DA SILVA;TITI BRASIL;MDB;MDB;1;Eleito;2020-11-15 22:57:20;58017;190000810353;Válido;2030402020;0,0161;1417;88189
RJ;ANGRA DOS REIS;13;Vereador;23223;JORGE BRUM CRISPIM DE CARVALHO;JORGINHO BRUM;CIDADANIA;CIDADANIA;1;Eleito;2020-11-15 22:57:20;58017;190000810525;Válido;2030402020;0,0155;1364;88189
RJ;ANGRA DOS REIS;13;Vereador;15615;JANE ROSELI VEIGA;JANE VEIGA;MDB;MDB;1;Eleito;2020-11-15 22:57:20;58017;190000810345;Válido;2030402020;0,0152;1343;88189
RJ;ANGRA DOS REIS;13;Vereador;36123;HELIO SEVERINO DE AZEVEDO;HELINHO DO SINDICATO;PTC;PTC;1;Eleito;2020-11-15 22:57:20;58017;190000908969;Válido;2030402020;0,0148;1302;88189
RJ;ANGRA DOS REIS;13;Vereador;11123;EDSON CARLOS RODRIGUES;EDINHO RODRIGUES;PP;PP;1;Eleito;2020-11-15 22:57:20;58017;190000792140;Válido;2030402020;0,0145;1282;88189
RJ;ANGRA DOS REIS;13;Vereador;15123;LUCIANA FERREIRA DE OLIVEIRA VALVERDE;LUCIANA VALVERDE;MDB;MDB;1;Eleito;2020-11-15 22:57:20;58017;190000810355;Válido;2030402020;0,0142;1251;88189
RJ;ANGRA DOS REIS;13;Vereador;23454;CLEBER ANTONIO DA SILVA;CHAPINHA;CIDADANIA;CIDADANIA;1;Suplente;2020-11-15 22:57:20;58017;190000810521;Válido;2030402020;0,0139;1224;88189
RJ;ANGRA DOS REIS;13;Vereador;51051;CHARLES LINDBERG NEVES;CHARLES NEVES;PATRIOTA;PATRIOTA;1;Eleito;2020-11-15 22:57:20;58017;190000666264;Válido;2030402020;0,0137;1210;88189
RJ;ANGRA DOS REIS;13;Vereador;23900;JOAO BATISTA DA CUNHA MIGUEL;JOAO MIGUEL;CIDADANIA;CIDADANIA;1;Suplente;2020-11-15 22:57:20;58017;190000810522;Válido;2030402020;0,0136;1199;88189
RJ;ANGRA DOS REIS;13;Vereador;51234;EDUARDO BARBOSA SAMPAIO;EDUARDO SAÚDE EM 1º LUGAR;PATRIOTA;PATRIOTA;1;Suplente;2020-11-15 22:57:20;58017;190000666266;Válido;2030402020;0,0134;1186;88189
RJ;ANGRA DOS REIS;13;Vereador;15611;MARCELO DE ALENCAR FERREIRA;MARCELINHO BOB;MDB;MDB;1;Suplente;2020-11-15 22:57:20;58017;190000810339;Válido;2030402020;0,0134;1179;88189
RJ;ANGRA DOS REIS;13;Vereador;51555;LEANDRO DA SILVA OLIVEIRA;LÉO MARMORARIA;PATRIOTA;PATRIOTA;1;Suplente;2020-11-15 22:57:20;58017;190000666261;Válido;2030402020;0,0133;1172;88189
RJ;ANGRA DOS REIS;13;Vereador;20000;FLAVIO ARAUJO DOS SANTOS;FLAVINHO ARAUJO;PSC;PSC;1;Suplente;2020-11-15 22:57:20;58017;190000796046;Válido;2030402020;0,0128;1132;88189
RJ;ANGRA DOS REIS;13;Vereador;15001;CLÁUDIO RICARDO RIBEIRO PIRES;CLÁUDIO PAQUITO;MDB;MDB;1;Suplente;2020-11-15 22:57:20;58017;190000810351;Válido;2030402020;0,0125;1099;88189
